"","D102300","D103780","D104130","D104300","D104310","D106100","D107320","D107650","D109100","D109350","D109543","D109800","D114480","D114500","D114550","D115645","D125320","D125850","D125851","D125852","D125853","D126200","D127350","D127750","D131200","D131440","D132090","D132300","D133239","D134430","D134500","D134510","D134520","D137215","D137750","D137760","D137800","D140300","D140600","D143100","D143465","D144700","D145500","D146500","D151400","D152700","D153800","D155600","D155601","D157300","D157700","D160750","D161400","D164230","D165199","D165720","D166710","D166760","D168600","D168601","D170900","D175505","D176807","D181000","D181500","D182830","D184700","D187360","D188470","D190300","D190310","D191390","D192000","D193200","D203700","D205700","D208085","D208550","D209850","D210050","D211980","D219700","D222100","D223350","D226150","D227300","D234700","D236000","D241100","D246300","D247640","D254200","D254500","D256370","D256700","D260480","D260970","D264700","D266120","D266600","D267740","D273300","D275000","D300125","D303110","D312910","D600081","D600319","D600496","D600634","D600803","D600807","D601208","D601318","D601367","D601518","D601626","D601665","D601666","D601682","D601744","D601941","D601942","D602080","D602096","D602134","D602404","D602439","D603165","D603266","D603388","D604416","D604827","D605055","D605218","D605480","D605526","D605804","D605805","D605839","D605841","D605844","D606889","D607060","D607154","D607202","D607373","D607498","D607499","D607501","D607508","D607516","D607554","D607682","D607688","D607822","D607850","D608049","D608088","D608232","D608320","D608437","D608583","D608895","D608907"
"D210050",0.11624,0.17317,0.1698,0.2397,0.099635,0.097111,0.1405,0.16482,0.13292,0.040876,0,0.020714,0.11805,0.044614,0.11919,0.088903,0.23943,0.047556,0,0.10629,0.10786,0.091133,0,0.15369,0.024172,0,0.31687,0.2011,0.049514,0,0,0,0,0.055897,0.052946,0.043315,0.13562,0.070375,0,0.16019,0.14025,0.081196,0.12711,0.14777,0.027989,0.13173,0.087636,0.037007,0,0.15284,0.083925,0.079494,0.10524,0.1837,0.051242,0.044168,0,0,0.15116,0.23099,0.060921,0.036449,0.045897,0.1499,0.1465,0.1067,0.11772,0.083888,0.028483,0.13503,0.10799,0.063418,0,0.03907,0.3638,0,0.12545,0.082318,0.13641,1,0.088964,0.15571,0.023248,0,0.025514,0,0.056986,0.071792,0,0.019243,0,0.047629,0.052377,0,0.13345,0.052214,0.12927,0.12649,0,0.10105,0.21614,0.086012,0.040253,0.2041,0.039801,0.065227,0,0,0.020401,0,0.073456,0.11202,0,0.025146,0.19111,0,0,0.18529,0,0,0.021867,0,0,0.071915,0.14462,0.072756,0.10971,0.038079,0.068513,0,0,0,0.15499,0.25072,0.043052,0.23012,0.096074,0.086568,0.082935,0,0.037847,0.08686,0.19272,0.10547,0.071019,0.09834,0.17157,0.20141,0.096697,0.18518,0.21299,0.19927,0.17411,0.28401,0.11333,0.19617,0,0.16333,0.086902,0.088883,0.05605,0,0.19138,0,0.11591
"D211980",0,0.12524,0.069882,0.13661,0,0.16365,0.027991,0.086071,0.05681,0.17175,0.13627,0.16975,0.37448,0.33222,0.24851,0.070159,0,0.10363,0.10301,0.089063,0.12964,0.10133,0,0,0.1337,0.10297,0,0,0.21515,0,0.13536,0,0,0.19578,0,0.07545,0.18484,0.14124,0,0.14804,0,0.36645,0.1274,0.065919,0.22062,0.088941,0.095153,0.32954,0.32351,0.041535,0.025176,0.090838,0.10884,0,0,0,0.13422,0,0.03102,0.035256,0.054976,0.092938,0.24155,0.17149,0.087511,0,0.11807,0.044371,0.26687,0,0,0.14835,0,0.077663,0.026484,0,0,0.12427,0.12538,0.088964,1,0.1892,0.099926,0.11093,0,0.1285,0.075782,0.24379,0,0.047252,0.18624,0.20133,0.16783,0.089536,0.25532,0.031559,0,0.089813,0.085963,0.11559,0,0.22334,0.15129,0,0,0,0.13768,0,0.098161,0.27233,0.11866,0.22324,0,0.059696,0.12984,0.085006,0.17361,0.04921,0,0,0.08573,0.12737,0,0.13839,0.058504,0,0,0.099509,0.21479,0,0.12177,0,0.085075,0,0,0,0.11814,0.069603,0.066716,0.23506,0,0.069899,0,0,0.1738,0.07199,0.11659,0,0,0,0.078498,0,0,0,0,0.048289,0,0.21738,0.021315,0.18677,0,0,0,0,0
"D219700",0.046688,0.17365,0.17129,0.25926,0.10059,0.29878,0.21502,0.16238,0.2384,0.16881,0.048874,0.17773,0.32437,0.35404,0.30118,0.193,0.058245,0.18412,0.11275,0.16135,0.21443,0.22963,0.097676,0.08309,0.136,0.11227,0.082738,0.070941,0.225,0.11732,0.1929,0.19463,0.12238,0.26861,0.071126,0.16854,0.21065,0.24094,0.049124,0.26797,0.079358,0.2606,0.33013,0.22513,0.18447,0.28543,0.22623,0.25834,0.11533,0.13803,0.21429,0.11187,0.08844,0.10452,0.051762,0.091336,0.11265,0.038362,0.1155,0.10762,0.14274,0.20695,0.24114,0.27552,0.27714,0.080703,0.20691,0.21884,0.1757,0.15102,0.081692,0.3391,0.073014,0.14829,0.21738,0.050138,0.21623,0.266,0.20939,0.15571,0.1892,1,0.30927,0.10819,0.16668,0.17613,0.17458,0.18709,0.11033,0.14832,0.087297,0.17851,0.21956,0.12319,0.33139,0.21008,0.04761,0.29985,0.13214,0.40426,0.087289,0.21197,0.23805,0.08033,0.090756,0.15795,0.12351,0.067058,0.18475,0.095217,0.22536,0.32758,0.076335,0.18067,0.21066,0.12361,0.1202,0.2195,0.076532,0.056348,0.21889,0.11986,0.076001,0.14753,0.18292,0.073605,0.07506,0.16646,0.22353,0.076001,0.14145,0.12716,0.033982,0.097991,0.11096,0.11398,0.14924,0.17801,0.16648,0.14546,0.019073,0.17835,0.13657,0.10797,0.21944,0.18617,0.21735,0.081131,0.037091,0.083642,0.10749,0.1009,0.11873,0.063339,0.076232,0.1236,0.07589,0.2102,0.11388,0.24304,0.14005,0.092246,0.11467,0.026185,0.078082
"D222100",0.084292,0.15982,0.12687,0.24918,0.035778,0.2874,0.23225,0.22377,0.29311,0.028937,0,0.11072,0.24242,0.19947,0.219,0.11868,0.013834,0.40423,0.25369,0.40169,0.39502,0.37783,0.19787,0.032295,0.069549,0.086757,0.029457,0.080942,0.13337,0,0.08006,0.018902,0.11794,0.16366,0.11435,0.21018,0.13582,0.33809,0.23551,0.22101,0.051167,0.19443,0.30268,0.2257,0.22362,0.31391,0.27129,0.20315,0.040109,0.15915,0.1626,0.1407,0.22776,0.018617,0.11245,0.19557,0.19881,0.091216,0.13009,0.050317,0.072222,0.066448,0.20946,0.29601,0.2427,0.11742,0.19421,0.32977,0.16183,0.15083,0.019384,0.30233,0.034145,0.098857,0.14901,0.048158,0.14836,0.1744,0.20365,0.023248,0.099926,0.30927,1,0.1239,0.073943,0.076022,0.32338,0.15738,0.10448,0.23713,0.05141,0.21799,0.35171,0.10098,0.25407,0.35556,0.033726,0.30204,0.13768,0.40651,0.13309,0.14468,0.47039,0.032444,0.10138,0.10724,0.13734,0.34157,0.44151,0.019208,0.16017,0.3473,0.30327,0.44783,0.19923,0.065673,0.070533,0.11723,0.30324,0.12891,0.31238,0.3417,0.30328,0.20576,0.20947,0.08758,0.02631,0.1137,0.17707,0.30328,0.36672,0.26644,0.066218,0.030862,0.1501,0.11686,0.092491,0.04047,0.038802,0.046435,0.19725,0.040777,0.029613,0.078011,0.11987,0.20206,0.14276,0.028359,0,0.029253,0.0765,0.072003,0.041749,0.022574,0.027161,0.054963,0.20197,0.14033,0.075178,0.22909,0.14025,0.14965,0.045896,0.068523,0.027775
"D223350",0,0.080282,0.046904,0.20768,0,0.26455,0.20185,0.03713,0.11422,0.054775,0.24111,0.051055,0.1217,0.11023,0.073913,0.094779,0,0.055755,0.074841,0.14078,0.059354,0.20688,0,0,0.032277,0.41587,0,0,0.086921,0.089449,0.14435,0.071081,0.052666,0.13557,0,0.11709,0.11702,0.12724,0,0.1002,0,0.20309,0.10243,0.034485,0.3552,0.17842,0.086593,0.13703,0.080298,0.092002,0.027444,0.066248,0.046475,0,0,0,0.044503,0,0,0,0.24297,0.048333,0.14682,0.16419,0.092996,0,0.04588,0.16099,0.12148,0,0,0.18642,0,0.18334,0.014265,0.26935,0.018553,0.16307,0.05303,0,0.11093,0.10819,0.1239,1,0,0.13466,0.061274,0.32792,0,0.1827,0.3708,0.10616,0.29355,0.046537,0.08689,0.10791,0,0.08137,0.22899,0.20234,0,0.077119,0.10816,0,0,0,0.070498,0.044338,0.079183,0.073853,0.064033,0.21788,0.050472,0.19725,0.1167,0.04201,0.55118,0.023951,0.050602,0,0.13752,0.13812,0.050253,0.080807,0.1607,0,0,0.5961,0.10202,0.050253,0.18818,0,0,0,0.034623,0.042979,0.085621,0.037505,0.035951,0.06522,0,0.037912,0,0,0.092862,0.032559,0.06823,0,0,0,0.057101,0,0,0,0,0,0,0.086057,0.023147,0.31278,0.022055,0.034479,0,0,0
"D226150",0,0.031912,0,0,0,0.092404,0.054788,0,0.11731,0.096879,0,0,0,0.15853,0.069127,0.056154,0,0,0,0,0,0.14275,0,0,0,0,0,0,0.096936,0,0,0,0,0.12009,0,0,0.056522,0,0,0.022239,0,0,0.038853,0,0.022676,0.045131,0,0.11692,0,0.06336,0.032563,0,0,0.04214,0,0,0,0,0.019096,0,0,0.11471,0,0.1843,0.022046,0,0,0.057514,0,0,0.1297,0.22202,0,0,0.075237,0,0.022612,0.032543,0,0.025514,0,0.16668,0.073943,0,1,0,0.073622,0,0,0.092545,0,0,0,0,0.11292,0.020595,0,0,0,0.21299,0,0,0,0.086188,0,0,0,0,0,0,0.038388,0.021268,0,0,0,0,0,0,0,0,0.081785,0,0,0.068011,0,0,0,0,0.020388,0,0,0.027956,0,0,0.12479,0,0,0,0,0,0,0,0,0,0,0.1164,0.053273,0.078279,0.051311,0.079625,0.080347,0.075849,0,0,0,0,0,0,0.055621,0.055749,0,0.12422,0,0,0
"D227300",0,0.13203,0,0.14657,0,0.17408,0.18313,0.11587,0.11973,0,0,0.084165,0.11115,0.070223,0.10639,0.11504,0,0.17369,0.13221,0.11669,0.15352,0.080157,0,0,0,0.12471,0,0,0.17979,0.48545,0.77052,0.29975,0.32541,0.1413,0.02827,0.11466,0.055962,0.11235,0,0.04402,0,0.10637,0.12636,0.13386,0.11267,0.12116,0.15232,0.10663,0,0.026576,0.066595,0.1166,0.17678,0.041505,0,0,0.13722,0,0.022644,0,0.13104,0.028666,0.096882,0.10713,0.1138,0,0.095678,0.13804,0.10454,0.023937,0,0.059538,0,0.061451,0.017156,0.15714,0.022312,0.063443,0.11149,0,0.1285,0.17613,0.076022,0.13466,0,1,0.072404,0.19165,0.029045,0.060734,0.056144,0.10027,0.19275,0.027575,0.073315,0.040564,0,0.10039,0.22127,0.16807,0,0.066506,0.089654,0,0.031864,0.026074,0.12464,0,0.16451,0.042807,0.11342,0.12944,0,0.076729,0.2156,0,0.12294,0.028773,0,0,0.080863,0.1635,0,0.074386,0.075197,0,0,0.15061,0.1046,0,0.12163,0,0.060622,0,0,0,0.27675,0.0451,0.043231,0,0,0.045295,0.036608,0,0.14657,0.054688,0.10732,0,0,0,0.10075,0,0.04643,0,0,0,0,0.1019,0.027835,0.1114,0.026516,0,0,0,0
"D234700",0.022183,0.15808,0.12008,0.085327,0.023925,0.17186,0.37044,0.12408,0.34902,0,0,0.016373,0.14014,0.032111,0.14231,0.070793,0.018507,0.081507,0.080848,0.10101,0.17256,0.15174,0.035967,0.028796,0,0.079328,0.039407,0.054066,0.072801,0,0.077718,0,0.056303,0.10945,0.10193,0.14038,0.17049,0.20072,0.15054,0.11422,0,0.086445,0.12081,0.13858,0.21355,0.38524,0.13486,0.10915,0.054084,0.081476,0.2248,0.40495,0.13435,0.024906,0.074249,0.12896,0.1524,0.073301,0.081179,0.053596,0.038572,0,0.088503,0.21336,0.12435,0.051223,0.12389,0.35063,0.089121,0.086243,0.025931,0.19567,0,0.13323,0.10792,0.063928,0.095553,0.096879,0.10311,0.056986,0.075782,0.17458,0.32338,0.061274,0.073622,0.072404,1,0.063934,0.052432,0.20718,0.051567,0.24677,0.29308,0,0.14059,0.29434,0.046262,0.18344,0.067471,0.24242,0.055237,0.060995,0.34051,0.065105,0.038251,0.031376,0.13354,0.09619,0.11525,0,0.093328,0.065426,0.073014,0.093708,0.11279,0,0.056244,0.087711,0.073113,0.033924,0.37336,0.16426,0.072843,0.16181,0.068845,0.070017,0.035196,0.073382,0.16478,0.072843,0.18983,0.20745,0.02155,0.02064,0.47625,0.22324,0.12352,0.081393,0.078058,0.044141,0.036402,0.081921,0.039609,0.025343,0.15871,0.11915,0.08789,0.056909,0,0.058696,0.1225,0.056755,0.17584,0.030198,0.036335,0.061292,0.13962,0.096239,0.083558,0.17055,0.10207,0.49231,0.19371,0,0.037156
"D236000",0.024443,0.12737,0.036535,0.21921,0,0.37357,0.13151,0.058856,0.12612,0.11306,0.19113,0.1345,0.2369,0.17104,0.19666,0.16536,0,0.043667,0.058615,0.22273,0.15575,0.22142,0.06387,0,0.025684,0.24472,0,0,0.14113,0.10368,0.17112,0.082483,0.081412,0.13444,0,0.12342,0.15331,0.15874,0.10152,0.11702,0.049803,0.35133,0.14358,0.053888,0.34244,0.21089,0.093982,0.22524,0.12084,0.070838,0.10715,0.051884,0.074383,0,0,0.072471,0.10778,0,0.063892,0.029062,0.29905,0.056305,0.17874,0.20975,0.1627,0,0.071688,0.18871,0.19343,0.078256,0,0.21212,0,0.10219,0.033486,0.17453,0.02931,0.19014,0.075158,0.071792,0.24379,0.18709,0.15738,0.32792,0,0.19165,0.063934,1,0,0.14184,0.28838,0.099599,0.37407,0.072118,0.1822,0.084031,0,0.08476,0.12212,0.21157,0,0.11681,0.15694,0.047062,0.025687,0,0.055213,0.034694,0.061997,0.085642,0.05015,0.2668,0.039494,0.21266,0.22681,0.033428,0.27328,0.037981,0.039596,0,0.14393,0.10814,0.039322,0.07581,0.25484,0.05117,0,0.3252,0.18896,0.039322,0.20241,0.036727,0.072342,0,0.027092,0.033631,0.067057,0.029348,0.028131,0.11928,0,0.029666,0.042947,0.08579,0.072707,0.086693,0.053714,0.041136,0,0.042418,0.08873,0.041025,0.060421,0,0,0,0.08148,0.082626,0.036272,0.38489,0.052059,0.026979,0.066407,0,0
"D241100",0,0,0.039524,0.022409,0,0.15094,0.09151,0.047345,0.092119,0,0,0.11647,0.24462,0.12641,0.14933,0.019969,0,0.095452,0.063406,0.13987,0.13469,0.033436,0.10837,0,0.25226,0,0,0.09628,0.017215,0.03767,0.030563,0.060201,0.11204,0.042622,0.060284,0.049318,0.040195,0.10769,0.072477,0.11776,0,0.089556,0.055433,0.088303,0.015929,0.1585,0.089216,0.038424,0,0,0.085137,0.083022,0.019857,0.029496,0,0.075937,0.12301,0.14456,0,0.016047,0,0.020372,0.24698,0.012508,0.015613,0,0.17193,0.081948,0.075801,0.068169,0,0.057475,0.10953,0.066767,0.07653,0,0.064135,0.045796,0.058343,0,0,0.11033,0.10448,0,0,0.029045,0.052432,0,1,0,0.025256,0.10857,0.029906,0.26748,0.15702,0.029275,0,0.18328,0.053059,0.14965,0,0.23604,0.076531,0,0.045495,0.12812,0,0.11516,0.090469,0.060929,0,0.01523,0.043276,0.083741,0.032612,0.21017,0,0.040951,0.043371,0,0.058193,0.038119,0.043113,0.058456,0,0.02761,0,0.021664,0.043352,0.043113,0.052327,0.1203,0,0,0.05921,0.036816,0,0.096177,0.092237,0.098289,0,0.096593,0,0,0.078975,0.055186,0.037995,0,0,0,0,0,0.032997,0,0,0,0.055197,0.033711,0.039603,0.026376,0.03775,0.058976,0,0,0
"D246300",0.027913,0.096892,0.066864,0.15517,0.030173,0.21357,0.20843,0.033694,0.13192,0.051831,0,0.021226,0.13592,0.12132,0.095425,0.046448,0.023283,0.075848,0.067916,0.19233,0.071694,0.28859,0,0.018132,0,0.19749,0,0,0.036636,0,0.065135,0,0,0.091576,0.064897,0.19611,0.24452,0.23267,0,0.15253,0.028438,0.082108,0.13679,0.079118,0.18429,0.35585,0.17474,0.15064,0.1016,0.14385,0.049893,0.060117,0.10568,0.031363,0,0,0.040385,0,0.072835,0.051856,0.024324,0,0.12992,0.24279,0.18793,0,0.070109,0.21999,0.053595,0.018066,0,0.18483,0,0.048579,0.053498,0,0.08903,0.12297,0.048245,0.019243,0.047252,0.14832,0.23713,0.1827,0.092545,0.060734,0.20718,0.14184,0,1,0.043266,0.038374,0.16095,0,0.1547,0.1145,0.17562,0.19813,0.085029,0.33007,0,0.050865,0.16411,0.027369,0,0,0.063974,0,0.071881,0,0.058108,0.24268,0,0.21596,0.053074,0,0.12346,0.065661,0,0.048927,0.3153,0.084983,0,0.10093,0.23505,0,0,0.070697,0.12773,0,0.14061,0.088216,0.027555,0.026063,0.22276,0,0.077698,0,0,0.055352,0,0,0.024913,0,0.056164,0,0.062316,0.024004,0.037997,0.024721,0.077404,0.023878,0,0.038147,0,0.030866,0,0.060239,0.021009,0.19011,0,0.22184,0,0.059744,0
"D247640",0,0.022426,0.043062,0.14682,0,0.16381,0.077402,0.031062,0.070572,0.0955,0.22163,0.085626,0.27052,0.15074,0.08022,0.082911,0,0.02344,0.031279,0.099558,0.033108,0.15136,0,0.016814,0.032819,0.18083,0,0,0.09433,0.037149,0.060301,0.02952,0.021873,0.088797,0.039957,0.068558,0.1416,0.07925,0,0.12913,0,0.21663,0.043933,0.014473,0.21533,0.066341,0.057308,0.16795,0.16821,0.084523,0.024692,0.027433,0.019572,0,0.028751,0,0.018709,0,0.013384,0,0.14014,0.08457,0.19578,0.14272,0.053446,0.029915,0.040983,0.067295,0.13226,0,0,0.1446,0,0.092315,0.037089,0.11313,0.015635,0.067768,0.031868,0,0.18624,0.087297,0.05141,0.3708,0,0.056144,0.051567,0.28838,0.025256,0.043266,1,0.1362,0.16557,0.081502,0.14082,0.057802,0,0.066119,0.052372,0.1084,0.066328,0.19375,0.060382,0.025344,0.022342,0.018303,0.029512,0.037364,0.044419,0.21839,0.067035,0.077867,0.042533,0.081966,0.06759,0.076892,0.36818,0.044522,0.042643,0.039617,0.057434,0.075477,0.042348,0.070623,0.053558,0,0,0.3244,0.088451,0.042348,0.10441,0,0,0,0.029177,0.036219,0.035996,0.031606,0.030296,0.10894,0,0.031949,0,0,0.05208,0.027438,0.041413,0.022154,0,0.022844,0.047497,0.022093,0,0,0,0.014299,0,0.27602,0.019506,0.2847,0.018586,0.029055,0,0,0
"D254200",0.069573,0.099643,0.10392,0.12772,0.024756,0.18848,0.14844,0.23536,0.2426,0.060339,0.095812,0.12238,0.16818,0.18181,0.1727,0.087344,0.038423,0.14712,0.11136,0.15682,0.20893,0.26609,0.077022,0.10602,0.096341,0.078958,0.081904,0.11226,0.12469,0.032905,0.10709,0.026145,0.097237,0.11319,0.14067,0.18765,0.14535,0.30267,0.1262,0.18042,0.023659,0.18434,0.11226,0.14409,0.19905,0.18233,0.13957,0.13604,0.087142,0.085382,0.1327,0.35267,0.22789,0.077477,0.12795,0.1322,0.18988,0.050606,0.13116,0.14046,0.059853,0.071186,0.18529,0.19866,0.1263,0.13353,0.19975,0.21575,0.33015,0.1799,0.053843,0.18951,0,0.17625,0.16287,0.066114,0.083231,0.12039,0.17093,0.047629,0.20133,0.17851,0.21799,0.10616,0,0.10027,0.24677,0.099599,0.10857,0.038374,0.1362,1,0.18284,0.12002,0.26482,0.15496,0.07135,0.21517,0.092952,0.20051,0.086124,0.16218,0.31452,0.067506,0.07927,0.081266,0.13876,0.13267,0.17874,0.13417,0.12297,0.13492,0.11327,0.16999,0.14352,0.061602,0.13894,0.089343,0.11346,0.035095,0.13846,0.20316,0.11295,0.20476,0.095163,0.19888,0.036418,0.17135,0.15336,0.11295,0.22363,0.12424,0.022298,0.042866,0.10445,0.19462,0.12779,0.11218,0.10755,0.069511,0.037666,0.11285,0.04112,0.079225,0.18763,0.12397,0.14118,0.059011,0,0.061478,0.12686,0.078651,0.05765,0.062724,0.037597,0.12878,0.09576,0.17351,0.20798,0.22874,0.065929,0.1043,0.031684,0,0.038447
"D254500",0.037918,0.19967,0.10023,0.27256,0.040942,0.35806,0.20773,0.11466,0.33512,0.033611,0.1215,0.10277,0.25136,0.16019,0.13312,0.13022,0.031632,0.15552,0.11469,0.23321,0.2207,0.26897,0.045986,0.036922,0.040145,0.17572,0.033667,0.023095,0.11679,0.081701,0.17951,0.064996,0.11424,0.25105,0.11732,0.2285,0.1502,0.24032,0.10294,0.16739,0.039274,0.20853,0.24629,0.17817,0.50371,0.26186,0.27659,0.17734,0.096814,0.11132,0.10017,0.16061,0.16068,0.042588,0.097095,0.092027,0.14017,0.020822,0.070215,0.11733,0.5143,0.029652,0.12727,0.23706,0.18607,0.043762,0.14067,0.34879,0.092917,0.061361,0.022154,0.26072,0.039101,0.30958,0.079209,0.23401,0.068706,0.11679,0.15744,0.052377,0.16783,0.21956,0.35171,0.29355,0,0.19275,0.29308,0.37407,0.029906,0.16095,0.16557,0.18284,1,0.073431,0.21813,0.2517,0.13215,0.25178,0.13828,0.29069,0.047191,0.14456,0.32442,0.092756,0.065698,0.053554,0.21614,0.10945,0.17988,0.04533,0.12317,0.25481,0.12465,0.22692,0.23851,0.051379,0.23102,0.13467,0.1249,0.028982,0.24491,0.19514,0.12421,0.14688,0.17947,0.019911,0.03007,0.22204,0.11692,0.12421,0.24139,0.10054,0.095234,0.035343,0.08564,0.13316,0.13194,0.046275,0.044367,0.040105,0.0311,0.046626,0.067685,0.021651,0.095297,0.17074,0.11098,0.081133,0.025818,0.083652,0.13934,0.11435,0.071407,0.051719,0.031043,0.095505,0.079055,0.1598,0.10109,0.31231,0.095943,0.085515,0.078482,0,0.031744
"D256370",0,0,0.037576,0.042512,0,0.13089,0.024668,0,0.029189,0.065617,0.10421,0.35896,0.15912,0.29452,0.24573,0.056911,0,0.11654,0.030048,0.075744,0.031901,0.077023,0.060967,0,0.32617,0.042963,0,0,0.086468,0.035763,0.029016,0.028416,0.021057,0.068969,0.019073,0.031209,0.081523,0.10586,0,0.08321,0,0.26659,0.16222,0.042617,0.046428,0.12796,0.12927,0.073616,0.094701,0,0.010976,0,0,0.028003,0,0,0.018,0,0,0.030952,0.04341,0.096893,0.20116,0.011866,0.014823,0,0.19991,0,0.12186,0.01615,0,0.040882,0.15692,0.042255,0.023156,0,0.08523,0,0.027603,0,0.089536,0.12319,0.10098,0.046537,0,0.027575,0,0.072118,0.26748,0,0.081502,0.12002,0.073431,1,0.22813,0,0,0.16086,0.075948,0.098956,0,0.22422,0.029051,0,0.072531,0.017592,0,0,0.11042,0.17513,0,0.059581,0,0.052888,0.046396,0.23328,0.063192,0.077736,0,0,0.055625,0,0,0.039646,0,0,0,0.062187,0.04114,0,0,0.06465,0,0,0,0,0,0.030429,0.029168,0.30184,0,0.030561,0,0,0.024986,0,0.035968,0,0,0,0,0,0.031327,0,0,0,0,0.079904,0.018781,0.05331,0.01789,0,0,0,0
"D256700",0.094003,0.13623,0.17631,0.27038,0.10062,0.31756,0.18276,0.19765,0.18288,0.11946,0.059709,0.31523,0.40927,0.35947,0.27807,0.20282,0.076699,0.13099,0.079586,0.20997,0.23696,0.26964,0.13205,0.12831,0.14095,0.12049,0.069883,0.095885,0.16345,0.053765,0.079525,0.044801,0.12301,0.15863,0.14049,0.24961,0.31374,0.26888,0.091333,0.38925,0.13092,0.432,0.3011,0.25712,0.12687,0.26583,0.24281,0.40629,0.1956,0.17448,0.20014,0.15348,0.15937,0.14764,0.15596,0.20494,0.14784,0.10094,0.1642,0.23016,0.058552,0.11329,0.25487,0.28432,0.23829,0.13822,0.2301,0.22597,0.21706,0.18747,0.1075,0.23073,0.054087,0.10212,0.2453,0,0.13455,0.20803,0.16714,0.13345,0.25532,0.33139,0.25407,0.08689,0.11292,0.073315,0.14059,0.1822,0.15702,0.1547,0.14082,0.26482,0.21813,0.22813,1,0.14263,0.23481,0.27705,0.12209,0.27424,0.13794,0.34535,0.29267,0.12951,0.10296,0.11473,0.045022,0.038444,0.12417,0.15502,0.11,0.23627,0,0.14311,0.19934,0.12414,0.10311,0.18682,0,0.10192,0.22426,0.059054,0,0.25655,0.23327,0.11311,0.063845,0.12386,0.18505,0,0.14458,0.10151,0.053645,0.11054,0.064984,0.091858,0.10936,0.063934,0.061307,0.26702,0.021499,0.064209,0.16716,0.12177,0.092067,0.1104,0.18911,0.12598,0.12737,0.12974,0.1574,0.1478,0.098793,0.090251,0.064471,0.17048,0.11287,0.23039,0.17785,0.22322,0.10308,0.044231,0.090506,0.054168,0.066061
"D260480",0.076137,0.13588,0.20364,0.12124,0.020073,0.20328,0.16072,0.20234,0.2754,0.048834,0,0,0.12966,0.092053,0.094892,0.19735,0.015527,0.1052,0.04536,0.13097,0.097665,0.18976,0.046431,0.024194,0.01954,0.12118,0.033063,0.045543,0.098632,0,0.043503,0,0.047843,0.11109,0.14458,0.19194,0.12684,0.16035,0.10123,0.12922,0,0.084141,0.073876,0.14927,0.19058,0.15008,0.17146,0.14104,0.047029,0.054743,0.13434,0.13811,0.20939,0.020896,0.12923,0.090469,0.080726,0.08208,0.058983,0.022479,0.048663,0.058328,0.074203,0.22995,0.11644,0.13502,0.12352,0.21836,0.035795,0.10994,0.043563,0.41244,0,0.11293,0.15562,0.053723,0.18676,0.20003,0.10952,0.052214,0.031559,0.21008,0.35556,0.10791,0.020595,0.040564,0.29434,0.084031,0.029275,0.1145,0.057802,0.15496,0.2517,0,0.14263,1,0.018915,0.1422,0.057075,0.31811,0.15362,0.050903,0.24525,0.036466,0.099998,0.082924,0.085051,0.053847,0.13221,0,0.25119,0.1652,0.061359,0.16331,0.03543,0,0.063433,0.074088,0.061442,0.14883,0.14137,0.11078,0.061216,0.12519,0.1208,0.039237,0.02953,0.078171,0.19505,0.061216,0.1978,0.11633,0.01808,0.017317,0.10514,0.13085,0.077736,0.068158,0.065366,0.038412,0.24283,0.068601,0.03329,0.021263,0.093584,0.17863,0.11713,0.031875,0,0.03288,0.068709,0.048011,0.023375,0.025336,0.030485,0.051647,0.077738,0.10718,0.056141,0.23476,0.040227,0.10492,0.025691,0.081812,0.031174
"D260970",0.2245,0.16258,0.10731,0.18753,0.15172,0,0.069518,0.040718,0.086526,0,0,0,0.049364,0.016298,0.038195,0,0.18537,0,0,0.091558,0.076615,0.25342,0,0.28067,0,0,0.12086,0.082863,0,0,0,0.038757,0,0,0.13139,0.24046,0.13343,0.08045,0,0.20336,0.20129,0.033046,0.035777,0.20264,0,0.085313,0.094267,0.016578,0,0.12739,0.029904,0.10915,0.22218,0.25494,0.21529,0.097536,0,0,0.26186,0.30494,0,0,0.022543,0.066269,0.1818,0.078468,0.092619,0.035263,0,0.13347,0.12147,0.018556,0,0.057505,0.16825,0,0.064337,0,0.13393,0.12927,0,0.04761,0.033726,0,0,0,0.046262,0,0,0.17562,0,0.07135,0.13215,0,0.23481,0.018915,1,0.11272,0.034736,0.060259,0.084907,0.084987,0.059276,0.13709,0.05858,0.073579,0,0,0,0,0,0.019592,0,0,0.11821,0,0,0.1199,0,0,0.025095,0,0,0.11358,0.23239,0.10884,0.053921,0.056046,0,0,0.033741,0,0.10932,0.23987,0,0.095155,0.047189,0,0,0,0.055769,0,0.18439,0.11861,0,0.072231,0.10754,0.12117,0.16732,0.12537,0.12809,0.11987,0.042682,0.19183,0.055666,0.16379,0.035399,0.14905,0.30736,0.051188,0,0,0.046911,0,0.056924
