"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99"
"55",NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1
"57",1,NA,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1
"58",NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,1,1,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,NA,1,1,NA,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1
"59",NA,NA,1,1,1,NA,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1
"60",NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"61",1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"62",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"63",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1
"65",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"66",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"68",NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,1
"69",NA,NA,1,1,1,1,1,1,NA,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1
"70",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"71",1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1
"72",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"73",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"76",1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"77",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"78",NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"79",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"80",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"81",NA,NA,NA,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,NA,1,NA,1,NA,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1
"82",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,1
"83",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"84",NA,NA,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"85",1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"86",NA,NA,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,NA,NA,1
"87",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"88",1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"89",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,1,NA,1,1,NA,NA,NA,1
"90",1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"91",1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"92",1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"93",NA,NA,NA,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"94",1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"95",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96",NA,NA,1,1,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,1,NA,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,1,1,1,NA,1,1,1,NA,NA,1
"97",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,NA,1,NA,1
"98",NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1
"99",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
